Fecha,Temperatura,Humedad,Lluvia_mm,Consumo_kWh,Demanda_Max_kW,Usuarios_Activos,Sector
2015-01-01,18.8,65.0,32.0,961679.37,1870.27,18277,Residencial-Comercial
2015-02-01,19.6,54.1,44.3,947360.19,1872.38,18027,Residencial-Comercial
2015-03-01,35.4,45.3,56.3,864619.24,1690.47,17954,Residencial-Comercial
2015-04-01,27.9,37.3,83.6,872124.64,1781.58,18106,Residencial-Comercial
2015-05-01,31.0,54.9,65.8,866058.86,1566.65,18461,Residencial-Comercial
2015-06-01,39.5,58.7,30.9,1195705.42,2289.68,18749,Residencial-Comercial
2015-07-01,38.6,41.7,5.0,1187346.22,2458.73,18673,Residencial-Comercial
2015-08-01,39.0,73.4,24.9,1267905.73,2550.42,18518,Residencial-Comercial
2015-09-01,40.0,47.2,60.7,1247609.08,2622.77,18706,Residencial-Comercial
2015-10-01,26.9,50.4,8.9,908175.25,1749.89,19226,Residencial-Comercial
2015-11-01,31.3,38.9,56.4,932254.52,1704.43,19264,Residencial-Comercial
2015-12-01,24.9,34.7,29.8,1071398.42,2089.52,19458,Residencial-Comercial
2016-01-01,21.9,49.4,26.4,1065977.97,2182.41,19504,Residencial-Comercial
2016-02-01,21.2,49.7,62.8,1065887.48,2202.36,19626,Residencial-Comercial
2016-03-01,35.6,49.0,14.6,894763.34,1678.12,19304,Residencial-Comercial
2016-04-01,32.2,55.9,56.0,934040.37,1837.76,19580,Residencial-Comercial
2016-05-01,26.9,54.2,42.3,932921.72,1982.62,19793,Residencial-Comercial
2016-06-01,32.7,61.7,47.6,1332288.74,2653.3,20290,Residencial-Comercial
2016-07-01,39.0,45.7,43.5,1293350.86,2443.75,19513,Residencial-Comercial
2016-08-01,34.5,42.5,45.5,1291567.42,2539.14,20278,Residencial-Comercial
2016-09-01,39.2,60.8,43.3,1343549.0,2867.46,20579,Residencial-Comercial
2016-10-01,33.2,34.8,17.4,947076.0,1808.85,20409,Residencial-Comercial
2016-11-01,31.7,33.0,25.3,967196.27,2066.68,20327,Residencial-Comercial
2016-12-01,19.7,63.4,33.9,1097125.21,2255.65,20936,Residencial-Comercial
2017-01-01,18.2,44.3,82.2,1118246.39,2275.69,21155,Residencial-Comercial
2017-02-01,20.8,55.0,39.9,1108195.78,2144.2,20968,Residencial-Comercial
2017-03-01,28.3,54.6,32.0,972922.86,1888.32,21321,Residencial-Comercial
2017-04-01,33.8,40.8,8.8,996659.45,1963.29,20904,Residencial-Comercial
2017-05-01,28.6,51.8,81.7,992173.21,2039.59,21602,Residencial-Comercial
2017-06-01,39.9,46.2,40.3,1337154.89,2609.56,21279,Residencial-Comercial
2017-07-01,37.5,52.4,64.7,1370999.6,2924.97,21573,Residencial-Comercial
2017-08-01,37.7,55.9,45.5,1398010.43,2545.26,21689,Residencial-Comercial
2017-09-01,41.0,59.9,17.1,1379406.56,2904.11,21936,Residencial-Comercial
2017-10-01,33.0,60.9,58.2,997267.91,1934.22,22275,Residencial-Comercial
2017-11-01,28.8,55.5,22.8,967428.01,2038.42,22491,Residencial-Comercial
2017-12-01,21.3,46.1,22.2,1205212.23,2570.78,22211,Residencial-Comercial
2018-01-01,19.1,59.5,60.4,1136436.0,2357.54,22347,Residencial-Comercial
2018-02-01,19.7,40.3,33.8,1152383.65,2116.64,22461,Residencial-Comercial
2018-03-01,30.2,63.5,8.1,1021026.57,2060.55,22478,Residencial-Comercial
2018-04-01,27.9,66.5,31.2,1031062.21,2014.19,22418,Residencial-Comercial
2018-05-01,26.9,42.2,28.8,999850.5,2068.74,22884,Residencial-Comercial
2018-06-01,36.3,50.6,57.3,1453465.74,3107.06,22697,Residencial-Comercial
2018-07-01,38.1,49.6,54.8,1408591.2,2983.18,22950,Residencial-Comercial
2018-08-01,36.9,60.7,43.0,1459646.39,2653.23,23480,Residencial-Comercial
2018-09-01,38.1,37.2,38.7,1470348.77,3093.06,23377,Residencial-Comercial
2018-10-01,26.2,60.8,66.3,1054487.23,2063.2,23416,Residencial-Comercial
2018-11-01,35.1,65.8,59.1,1122120.98,2204.18,23726,Residencial-Comercial
2018-12-01,22.5,74.4,31.6,1226749.58,2611.83,23478,Residencial-Comercial
2019-01-01,23.5,68.4,23.0,1297097.64,2652.95,23853,Residencial-Comercial
2019-02-01,18.8,60.7,25.9,1227334.21,2536.63,23823,Residencial-Comercial
