ds,yhat,yhat_lower,yhat_upper
2015-01-01,989175.4139803926,948261.2155372959,1031058.6594612314
2015-02-01,965902.7534282859,926321.4951597083,1007551.8255930007
2015-03-01,830700.7962946033,791248.5014905599,870219.4310835119
2015-04-01,845432.4204947953,806241.8474402269,884914.7813262665
2015-05-01,836941.7409139508,795463.3480131415,877903.6632005876
2015-06-01,1260577.7629694226,1220893.7625324102,1296435.0684885273
2015-07-01,1274645.0593932346,1236671.4077626788,1316742.3847977556
2015-08-01,1309307.527713776,1271584.8517781345,1349544.8081165757
2015-09-01,1283092.4865562604,1243636.7236607831,1322617.4152924598
2015-10-01,861559.5703031961,823667.6536873978,903103.0643358221
2015-11-01,884471.1788179607,843240.5533417726,923150.4854650651
2015-12-01,1045416.4478932389,1005002.4218627587,1087130.900467227
2016-01-01,1049975.224760549,1009901.2189746385,1087647.125901051
2016-02-01,1020461.1437607887,981476.1379437421,1057499.3329770397
2016-03-01,881130.1920520884,841398.7495384729,922517.803305421
2016-04-01,905904.8578634874,868225.3761258251,948635.4969744533
2016-05-01,888389.6476313404,845862.8736935505,924910.0570955569
2016-06-01,1340459.0159740576,1301233.8545057543,1381027.5394429474
2016-07-01,1341748.0800352404,1302077.4381800347,1382908.156132973
2016-08-01,1342167.9749493133,1301357.6345131765,1382013.7459991914
2016-09-01,1371421.9873676428,1334614.5946378256,1411672.4742486328
2016-10-01,918865.5988236446,878514.8867794286,958787.9580613557
2016-11-01,930856.0734441404,892474.7656087728,971004.3485807916
2016-12-01,1100165.65781495,1060458.0347328342,1138543.857351842
2017-01-01,1111937.2420400796,1073136.7497611337,1152035.055016456
2017-02-01,1101603.4326551522,1063641.9955963395,1142560.9045982712
2017-03-01,945800.3157760169,907291.1897390726,986137.2253555029
2017-04-01,967338.341285926,928197.5783770579,1007315.5428343281
2017-05-01,952870.7123331976,914774.7632062148,991578.456317801
2017-06-01,1395603.9265174405,1353364.1689935948,1436239.2664906753
2017-07-01,1400876.5599840546,1361605.0058136713,1438523.5329467915
2017-08-01,1412943.8049435322,1373854.0108050385,1454099.0047171158
