Date,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureAvgInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches,Events,Alerta_Consumo_Critico,Alerta_Temp_Extrema
2013-12-21,,,,,,,,,,,,74.0,60.0,45.0,67,49,43,93,75,57,29.86,29.68,29.59,10,7,2,20,4,31,0.46,"Rain , Thunderstorm",0,0
2013-12-22,,,,,,,,,,,,56.0,48.0,39.0,43,36,28,93,68,43,30.41,30.13,29.87,10,10,5,16,6,25,0, ,0,0
2013-12-23,,,,,,,,,,,,58.0,45.0,32.0,31,27,23,76,52,27,30.56,30.49,30.41,10,10,10,8,3,12,0, ,0,0
2013-12-24,,,,,,,,,,,,61.0,46.0,31.0,36,28,21,89,56,22,30.56,30.45,30.3,10,10,7,12,4,20,0, ,0,0
2013-12-25,,,,,,,,,,,,58.0,50.0,41.0,44,40,36,86,71,56,30.41,30.33,30.27,10,10,7,10,2,16,T, ,0,0
2013-12-26,,,,,,,,,,,,57.0,48.0,39.0,39,36,33,79,63,47,30.47,30.4,30.34,10,9,7,12,3,17,0, ,0,0
2013-12-27,,,,,,,,,,,,60.0,53.0,45.0,41,39,37,83,65,47,30.46,30.39,30.34,10,9,7,7,1,11,T, ,0,0
2013-12-28,,,,,,,,,,,,62.0,51.0,40.0,43,39,33,92,64,36,30.33,30.17,30.04,10,10,7,10,2,14,T, ,0,0
2013-12-29,,,,,,,,,,,,64.0,50.0,36.0,49,41,28,92,76,60,30.31,30.1,29.99,10,10,4,17,5,24,0, ,0,0
2013-12-30,,,,,,,,,,,,44.0,40.0,35.0,31,26,21,75,60,45,30.44,30.33,30.26,10,10,10,13,5,21,0, ,0,0
2013-12-31,,,,,,,,,,,,55.0,46.0,36.0,31,28,23,76,54,32,30.49,30.39,30.27,10,10,10,8,1,12,0, ,0,0
2014-01-01,,,,,,,,,,,,69.0,54.0,39.0,51,42,30,83,68,52,30.25,30.11,30.01,10,10,8,13,4,22,0, ,0,0
2014-01-02,,,,,,,,,,,,55.0,44.0,33.0,39,26,19,83,55,26,30.49,30.37,30.15,10,10,9,21,8,31,0, ,0,0
2014-01-03,,,,,,,,,,,,58.0,43.0,28.0,37,22,18,75,49,22,30.48,30.35,30.14,10,10,10,14,4,21,0, ,0,0
2014-01-04,,,,,,,,,,,,71.0,57.0,42.0,55,48,38,89,68,47,30.12,29.95,29.81,10,10,8,16,7,28,0, ,0,0
2014-01-05,,,,,,,,,,,,59.0,47.0,34.0,54,32,15,87,59,31,30.48,30.08,29.79,10,10,4,21,10,34,0, ,0,0
2014-01-06,,,,,,,,,,,,36.0,29.0,22.0,15,8,2,50,38,26,30.8,30.68,30.5,10,10,10,17,7,27,0, ,0,0
2014-01-07,,,,,,,,,,,,48.0,35.0,22.0,29,11,4,68,43,17,30.66,30.52,30.36,10,10,10,13,5,22,0, ,0,0
2014-01-08,,,,,,,,,,,,53.0,47.0,40.0,51,45,30,93,75,57,30.33,30.2,30.12,10,2,1,12,1,18,0.16,Rain,0,0
2014-01-09,,,,,,,,,,,,70.0,62.0,53.0,60,55,50,93,80,66,30.18,30.11,30,10,4,0,12,3,19,0,Fog,0,0
2014-01-10,,,,,,,,,,,,72.0,65.0,57.0,64,61,54,93,81,68,29.97,29.87,29.75,10,8,1,13,6,21,0.1,Rain,0,0
2014-01-11,,,,,,,,,,,,75.0,62.0,48.0,54,37,20,93,53,13,30.16,30.06,29.87,10,9,5,12,3,19,0, ,0,0
2014-01-12,,,,,,,,,,,,67.0,57.0,46.0,58,47,33,84,68,52,30.12,30.01,29.9,10,10,10,15,4,24,0.01,Rain,0,0
2014-01-13,,,,,,,,,,,,71.0,57.0,43.0,60,36,17,87,51,14,30.16,30.01,29.86,10,9,7,17,7,29,0, ,0,0
2014-01-14,,,,,,,,,,,,76.0,57.0,37.0,31,25,20,70,41,12,30.34,30.13,30.01,10,10,10,16,5,29,0, ,0,0
2014-01-15,,,,,,,,,,,,64.0,52.0,40.0,29,23,16,49,35,21,30.47,30.33,30.17,10,10,10,14,4,21,0, ,0,0
2014-01-16,,,,,,,,,,,,72.0,56.0,40.0,31,27,23,55,38,20,30.21,30.13,30.06,10,10,10,14,4,20,0, ,0,0
2014-01-17,,,,,,,,,,,,64.0,54.0,43.0,31,20,15,45,31,17,30.37,30.29,30.21,10,10,9,14,5,21,0, ,0,0
2014-01-18,,,,,,,,,,,,70.0,54.0,37.0,41,33,23,59,45,31,30.26,30.19,30.1,10,10,10,12,2,19,0, ,0,0
2014-01-19,,,,,,,,,,,,72.0,59.0,45.0,41,30,18,64,39,14,30.35,30.22,30.12,10,10,10,9,3,16,0, ,0,0
2014-01-20,,,,,,,,,,,,82.0,64.0,46.0,51,36,23,71,44,17,30.16,30,29.85,10,10,10,16,5,26,0, ,0,0
2014-01-21,,,,,,,,,,,,63.0,51.0,38.0,28,23,19,59,39,19,30.43,30.31,30.19,10,10,10,15,6,25,0, ,0,0
2014-01-22,,,,,,,,,,,,70.0,54.0,37.0,39,27,24,70,45,19,30.23,30.11,30.01,10,10,10,12,4,18,0, ,0,0
2014-01-23,,,,,,,,,,,,56.0,42.0,27.0,42,29,20,78,64,50,30.73,30.47,30.06,10,8,2,20,9,31,0.06,"Rain , Snow",0,0
2014-01-24,,,,,,,,,,,,40.0,33.0,26.0,22,17,10,81,60,39,30.76,30.63,30.4,10,9,3,16,5,24,0.05, ,0,0
2014-01-25,,,,,,,,,,,,70.0,48.0,26.0,38,27,22,85,53,20,30.38,30.19,30.02,10,10,8,8,1,14,0, ,0,0
